ID_Trabajador,Edad,Ingreso_Mensual,Estado,Delegacion,Visitas_Promotor,Fecha_Ultimo_Contacto,Interes,Prob_Traspaso
EMP_0001,60,70041.17,Sonora,Norte,1,2025-02-26,Medio,0.01
EMP_0002,50,35756.06,Nuevo León,Este,3,2024-12-25,Bajo,0.4
EMP_0003,36,37602.06,Oaxaca,Norte,2,2024-09-26,Bajo,0.25
EMP_0004,64,24861.2,Colima,Oeste,2,2024-09-16,Bajo,0.35
EMP_0005,29,26588.38,Tamaulipas,Este,1,2024-11-11,Medio,0.35
EMP_0006,42,15084.06,México,Este,1,2025-04-04,Bajo,0.55
EMP_0007,60,37125.61,Chiapas,Sur,6,2024-04-26,Bajo,0.05
EMP_0008,40,98940.67,Querétaro,Sur,3,2024-11-08,Bajo,0.3
EMP_0009,44,24162.38,Coahuila,Norte,1,2024-07-27,Medio,0.2
EMP_0010,32,119429.17,Campeche,Este,6,2025-01-27,Bajo,0.2
EMP_0011,32,63940.01,Tamaulipas,Sur,3,2024-07-31,Alto,0.01
EMP_0012,45,30048.39,Michoacán,Oeste,4,2024-12-04,Medio,0.2
EMP_0013,57,36713.72,Sinaloa,Sur,0,2025-02-06,Medio,0.15
EMP_0014,61,34405.09,Guanajuato,Metropolitana,1,2024-08-29,Medio,0.1
EMP_0015,45,71859.32,Sonora,Metropolitana,3,2024-11-02,Bajo,0.3
EMP_0016,24,44658.78,Campeche,Sur,4,2025-03-30,Bajo,0.45
EMP_0017,43,58266.91,Hidalgo,Este,2,2024-08-25,Alto,0.01
EMP_0018,23,41909.54,Zacatecas,Este,1,2024-10-01,Medio,0.2
EMP_0019,45,34724.85,Sonora,Centro,2,2024-04-30,Alto,0.01
EMP_0020,51,41380.68,Morelos,Metropolitana,7,2025-03-15,Medio,0.01
EMP_0021,59,30860.19,Guerrero,Oeste,3,2024-04-20,Bajo,0.3
EMP_0022,23,20315.07,Tlaxcala,Este,1,2024-05-11,Bajo,0.6
EMP_0023,42,50285.67,Nayarit,Norte,2,2024-05-18,Medio,0.05
EMP_0024,54,19921.09,Sinaloa,Metropolitana,1,2024-06-02,Bajo,0.35
EMP_0025,33,32613.0,Sinaloa,Oeste,4,2024-06-22,Bajo,0.45
EMP_0026,43,30456.49,Aguascalientes,Oeste,3,2024-05-19,Alto,0.01
EMP_0027,46,46973.63,Campeche,Este,3,2024-09-06,Bajo,0.3
EMP_0028,48,67906.15,Querétaro,Oeste,3,2024-11-18,Bajo,0.3
EMP_0029,63,58805.36,Chihuahua,Este,3,2024-07-29,Alto,0.01
EMP_0030,49,47523.04,Colima,Sur,4,2024-06-26,Alto,0.01
EMP_0031,37,28227.48,Yucatán,Metropolitana,0,2024-06-19,Bajo,0.65
EMP_0032,36,33745.84,Nuevo León,Centro,2,2024-11-22,Alto,0.1
EMP_0033,24,31834.01,Sinaloa,Sur,3,2024-08-22,Alto,0.15
EMP_0034,58,30088.17,Nuevo León,Metropolitana,5,2024-12-20,Bajo,0.45
EMP_0035,28,30915.7,Nuevo León,Este,3,2025-01-14,Bajo,0.7
EMP_0036,42,30587.44,Baja California Sur,Metropolitana,5,2024-09-18,Bajo,0.45
EMP_0037,30,30050.35,Guerrero,Este,5,2024-11-01,Medio,0.15
EMP_0038,60,53143.61,Durango,Sur,3,2025-01-20,Bajo,0.2
EMP_0039,39,23816.77,Jalisco,Norte,2,2025-01-27,Alto,0.1
EMP_0040,25,27124.98,Sonora,Norte,2,2024-11-04,Medio,0.35
EMP_0041,46,19276.41,Hidalgo,Metropolitana,2,2025-04-09,Medio,0.2
EMP_0042,35,63971.51,Michoacán,Norte,3,2025-01-26,Alto,0.01
EMP_0043,30,26407.38,Jalisco,Este,1,2025-01-13,Alto,0.1
EMP_0044,47,47302.11,Baja California Sur,Oeste,3,2025-01-17,Bajo,0.3
